ID,Type,Original line,The translation
0,Speech (Player),There's no place like home.,Er is geen plaats zoals thuis.
1,Speech (Noo Noo),"You should head home, You haven't eaten today.","Ik denk dat je nu wel naar huis moet gaan, je hebt bijna niet eens gegeten."
2,Speech (Player),"Yeah I'm done here anyway, Let's go.","Ja ik ben klaar hier, In ieder geval, Laten we gaan."
3,Speech (Noo Noo),"Actually, I'm gonna stay here for a bit.","Eigenlijk, Blijf ik hier now even."
4,Speech (Player),"Alright, See you later Noo Noo!","Oke, Ik zie je later Noo Noo!"
5,Speech (Noo Noo),"Bye Po, I'll be home soon.","Doei Po, Ok kom thuis straks."
6,Speech (Noo Noo),I wonder what the others are up to.,Wat zouden de anderen eigenlijk aan het doen zijn.
7,Speech (Noo Noo),Why are you out here all by yourself?,Waarom ben jij hier helmaal alleen?
8,Speech (Noo Noo),Everyone misses you.,Iedereen mist jouw.
9,Speech (Dipsy (Hungry)),It should be on the tool rack near the beds.,Het moet bij de gereedschaps tafel liggen vlakbij de bedden.
10,Speech (Player),Alright thanks!,Oke dankjewel!
11,Speech (Tinky Winky),"PO's back, horray!","Po is terug, Hoera!"
12,Speech (Player),"I'm sorry, I didn't mean to be rude.","Sorry, Ik probeerde niet vervelend te wezen."
13,Speech (Noo Noo),All is forgiven.,Ik vergeef je.
14,Speech (Player),There is no time to wake the others.  I need to follow him quickly before he goes far!,Er is geen tijd om de anderen wakker te maken. Ik moet snel achter hem aan anders gaat hij te ver weg!
15,Speech (Player),I better grab a torch from the work bench.,Het lijkt mij beter dat ik de zaklamp ga pakken bij de gereetschaps tafel.
16,Speech (Player),I hope custard will chear Laa Laa up...,Ik hoop dat custard Laa Laa blij maakt...
17,Speech (Player),What a view...,Wat een uitzicht...
18,Speech (Noo Noo),It's a beautiful day.,Wat een mooie dag.
19,Speech (Lala),"Oh, hi Po... *sigh*","Oh, hoi Po... *zucht*"
20,Speech (Dipsy (Hungry)),"Of course, you need to press the 'on' button on your right.","Natuurlijk, je moet de ""aan"" knop indrukken naar rechts."
21,Speech (Player),"Ah now I remember, thanks!","oh nu weet ik het weer, dankje!"
22,Speech (Player),What I'm doing here is none of your concern.,Wat ik hier doe is niet jou probleem.
23,Speech (Noo Noo),"You are my concern, I am here for you.","Jij bent mijn zorg, Ik ben hier voor je."
24,Speech (Player),It sure is! Today is nice and warm.,Dat is het natuurlijk! Het is mooi en warm.
25,Speech (Noo Noo),I am unable to feel warmth.,Ik voel de warmte niet.
26,Speech (Dipsy (Hungry)),"Nope, it's been missing for so long that I can't even remember when I lost it.","Nee, Het mist nu al voor zolang dat ik niet meer weet waar ik hem heb kwijtgeraakt."
27,Speech (Player),"You'll find it eventually, I'm sure.","Je vindt hem wel, Weet ik."
28,Speech (Player),I should probably give Dipsy some tubby custard.,Ik denk dat ik Dipsy want tubby custard moet geven.
29,Speech (Player),I'll need to find the tool box before I can fix this.,Ik moet de gereedschapskist vinden voordat ik dit kan fixen.
30,Speech (Player),(He's my best friend!),(Hij is mijn best vriend!)
31,Speech (Player),"It's ready, time to give it to one of my friends!","Het is klaar, tijd om het aan een van mijn vrienden te geven!"
32,Speech (Player),I'm already carrying a custard.,Ik draag al een custard.
33,Speech (Player),Now to make myself some tubby custard!,Nu moet ik voor mijzelf wat tubby custard maken!
34,Speech (Player),I can't sleep...,Ik kan niet slapen...
35,Speech (Player),*Gasp*,*schrik*
36,Speech (Player),"Tubby custard, how did that get here?","Tubby custard, hoe komt dat hier?"
37,Speech (Player),"Tinky Winky doesn't seem to be here, I guess I better check the lake.","Tinky Winky is hier zo te zien niet, Ik denk dat ik het bos daar maar moet rondgaan kijken."
38,Speech (Player),Tinky Winky...?,Tinky Winky...?
39,Speech (Player),Wh... What happened to La La...?,Wa... Wat is er gebeurd met La La...?
40,Speech (Player),Are you ok...?,Alles ok...?
41,Speech (Player),Oh my god!,Oh mijn god!
42,Speech (Player),"He's chasing me, I better get to the house quick!","Hij probeerd mij te pakken, Ik moet snel daar het huis gaan!"
43,Speech (Player),Hey Dipsy...,Hallo Dipsy...
44,Speech (Dipsy (Hungry)),Hey.,Hoi.
45,Speech (Player),"It still works, but I don't need it right now.","Het werkt nogsteeds, maar ik hoef het nu niet."
46,Speech (Tinky Winky),........................................,........................................
47,Speech (Player),"Wait, where are you going!?","Wacht, waar ga je naartoe!?"
48,Speech (Tinky Winky),Wow PO don't be so rude.,Wow Po wees niet zo onbeleefd.
49,Speech (Player),Get used to it.,Wen er maar aan.
50,Speech (Tinky Winky),*Tinky Winky is offended*,*Tinky Winky voelt zich beledigd*
51,Speech (Player),"Power is now on, time to make some custard!","De stroom is nu aan, tijd om watcustard te maken!"
52,Speech (Player),We should get you a rain coat.,We moeten je een regenjas vinden.
53,Speech (Noo Noo),That would be practical.,Dat zou praktisch zijn.
54,Speech (Player),"Alright, now time to fix the custard machine...","Oke, tijd om de custard machine te repareren..."
55,Speech (Player),Will you just go away?,Waarom ga jij niet weg?
56,Speech (Noo Noo),You should treat others how you'd like to be treated.,Je zou anderen moeten behandelen hoe jij behandeld wilt worden.
57,Speech (Lala),I don't really feel like playing...,Ik heb nu niet zoveel zin in spelen...
58,Speech (Tinky Winky),"Hi Po, I'm getting hungry...","Hoi Po, Ik heb honger..."
59,Speech (Player),Me too! Lets go inside and get tubby custard.,Ik ook! Laten wij naar binnen gaan en wat tubby custard maken.
60,Speech (Tinky Winky),"Ok! But you should talk to LaLa first, she's been upset all day.","Ok! Maar ik zou eerst met Laa Laa praten, ze voelt zich niet zo goed de hele dag."
61,Speech (Player),"Uh oh! The machine is broken again, I guess I better fix it.","Uh oh! De machine is weer gebroken, Ik moet hem beter gaan reparen."
62,Speech (Tinky Winky),"Please hurry, I'm so hungry! Go fetch the tool box.","Wees snel, Ik heb zo'n honger! Pak de gereedschapskist."
63,Speech (Player),Here you go Tinky Winky!,Kijk is aan Tinky Winky!
64,Speech (Tinky Winky),Thank you PO! I couldn't live without you.,Dankje Po! Ik kon niet leven zonder jou.
65,Speech (Player),"Guys wake up, Tinky Winky broke the custard machine and left!","Jongens wakker worden, Tinky Winky breekte de custard machine en is weggegaan!"
66,Speech (Lala),...Huh what? why?,...Huh wat? Waarom?
67,Speech (Player),I don't know but I'm worried.  We need to find him.,Weet ik niet maar ik ben bezorgt.  We moeten hem vinden.
68,Speech (Lala),"Ok, go get a torch from the work bench and I'll be up in a minute.","Ok, pak de zaklamp van de gereedschaps tafel en ik sta op in een minuut."
69,Speech (Dipsy (Hungry)),"*zzz*... You guys go on, I'll wait here in case he comes back.. *zzz*","*zzz*... Gaan jullie maar, Ik wacht hier wel als hij terug komt.. *zzz*"
70,Speech (Player),I'm getting kinda hungry.,Ik wordt best wel hongerig.
71,Speech (Noo Noo),There is custard back at our home.,Er is custard terug bij ons thuis.
72,Speech (Player),"Chear up Laa Laa, I made some custard for you to make you feel better.","Wordt wat blijer Laa Laa, Ik heb wat custard gemaakt om je wat beter te voelen."
73,Speech (Lala),"*sniff* Thank you Po, you are a true friend.","*sniff* Dank je wel Po, je bent een echte vriend."
74,Speech (Lala),*La La feels a bit better*,*Laa Laa voeld zich stukke beter*
74,Speech (Lala),*Laa Laa feels a bit better*,*Laa Laa voeld zich stukke beter*
75,Speech (Player),"I'm just playing, it's great fun!","Ik ben gewoon aan het spelen, het is heel leuk!"
76,Speech (Noo Noo),I am glad you are enjoying yourself.,Ik ben blij dat jij jezelf vermaakt.
77,Speech (Lala),Oh hi again Po... *sniff*,Oh hallo alweer Po... *sniff*
78,Speech (Player),"Ok, time to find Tinky Winky...","Ok, tijd om Tinky Winky te vinden..."
79,Speech (Lala),"Hey! Why did you do... um... it's okay, I didn't want to play with it anyway.","Hey! Hey waarom deed je... um... het is oke, Ik wou er toch niet mee gaan spelen."
80,Speech (Player),Hello Noo Noo!,Hallo Noo Noo!
81,Speech (Noo Noo),Greetings Po.,Hallo Po.
82,Speech (Dipsy (Hungry)),"Oh if you are making custard, make me some too!","Oh als je custard aan het maken bent, maak mij ook wat!"
83,Speech (Lala),"No.. I had a bad dream last night, it was about us and bad things happened... but I can't remember what.","Nee.. Ik had een slechte droom gisteravond, het was iets met ons erin en slechte dingen gebeurde... maar ik weet niet meer wat er gebeurde."
84,Speech (Player),"Sounds scary, but it was just a dream.. try to forget about it.","Klinkt eng, maar het is was maar een droom.. probeer het te vergeten."
85,Speech (Player),Here you go Dipsy!,Kijk is aan Dipsy!
86,Speech (Dipsy (Hungry)),"Thank you PO, don't forget about yourself! You must be hungry.","Dankje Po, vergeet niet jezelf! Je moet ook honger hebben."
87,Speech (Player),That sucks.,Dat is niet mooi.
88,Speech (Noo Noo),"Yes, it does.","Ja, dat is niet mooi."
89,Speech (Player),They are so pretty!,Ze zijn zo mooi!
90,Speech (Player),"It's not for me, I prefer cold weather...","Het is niet voor mij, Ik zelf wil koud weer..."
91,Speech (Noo Noo),Information noted.,Informatie geschreven.
92,Speech (Tinky Winky),Eh-Oh! I want tubby custard!,Eh-Oh! Ik wil tubby custard!
93,Speech (Player),Me too! Lets go inside and get some.,Ik ook! Laten we naar binnen gaan en wat maken.
94,Speech (Tinky Winky),"Ok! But you should talk to LaLa first, she's been upset all day.","Ok! Maar praat eerst even met Laa Laa, ze voeld zich niet goed de hele dag."
95,Speech (Lala),...Yeah...,...Ja...
96,Speech (Player),Would you like to play Noo Noo?,Wil je met Noo Noo spelen?
97,Speech (Noo Noo),"Perhaps later, Po.","Misschien later, Po."
98,Speech (Player),"Grow up La La, I don't want to hear it... Now shut up and eat.","Wees eens groot Laa Laa, Ik wil het niet horen...Nou hou je mond dicht en eet."
99,Speech (Lala),*La La is scared*,*Laa Laa is bang*
99,Speech (Lala),*Laa Laa is scared*,*Laa Laa is bang*
100,Speech (Player),Phew! That should do it.,Phew! Dat moet het doen.
101,Speech (Tinky Winky),"Yay you did it, tubby custard!","Yay je hebt het gefixt, tubby custard!"
102,Speech (Dipsy (Hungry)),Could you please make custard and hand it out to each of us? We're hungry!,Kan je eerst custard voor ons maken en het aan ons geven? We hebben honger!
103,Speech (Player),"Yeah, sure... I guess I'll make my own once I've made enough for you guys.","Oke, natuurlijk... Ik denk dat ik mijnes maak wanneer ik genoeg voor jullie hebben gemaakt."
9,Speech (Dipsy (Hungry)),It should be on the tool rack near the beds.,Het moet op de gereedschapskist bij de bedden staan.
10,Speech (Player),Alright thanks!,Oke dankje!
104,Speech (Player),No power.,Geen stroom.
105,Speech (Player),"The view from the lake today is wonderful, I'm embracing it.","Dit uitzicht van het bos is heel mooi, Ik omhels het."
106,Speech (Noo Noo),"What I see is danger, I am not waterproof.","Wat ik zie is gevaar, ik ben niet waterdicht."
107,Speech (Player),Tinky Winky! Are you around here?,Tinky Winky! Ben je hier ergens?
108,Speech (Player),I guess I should look around...,Ik denk dat ik moet rondkijken...
109,Speech (Player),Hey Dipsy...,Hoi Dipsy...
110,Speech (Dipsy (Hungry)),Hey.,Hoi.
111,Hotspot,Flowers,Bloemen
112,Hotspot,Toggle Power (On),Schakel de stroom (Aan)
113,Hotspot,Builders Torch,Zaklamp
114,Hotspot,Laa Laa,Laa Laa
115,Hotspot,Flowers,Bloemen
116,Hotspot,Flowers,Bloemen
117,Hotspot,Custard Machine,Custard Machine
118,Hotspot,Laa Laa's Ball,Laa Laa's Bal
119,Hotspot,Tinky Winky,Tinky Winky
120,Hotspot,Enter House,Het Huis Binnen Gaan
121,Hotspot,Dipsy,Dipsy
122,DialogueOption,Are you ok?,Alles ok?
123,DialogueOption,Do you want to play?,Wil je spelen?
124,DialogueOption,Goodbye!,Doei!
125,DialogueOption,[Wake The Others],[De Anderen Wakker Maken]
126,DialogueOption,[Follow Tinky Winky Alone],[Volg Tinky Winky Alleen]
127,DialogueOption,Have you found your hat yet?,Heb jij je hoed al gevonden?
128,DialogueOption,Do you know where the tool box is?,Weet je waar de gereedschapskist is?
129,DialogueOption,Goodbye!,Doei!
130,DialogueOption,(Enter House),(Het Huis Binnen Gaan)
131,DialogueOption,(Stay),(Blijf)
132,DialogueOption,What are you doing?,Wat ben je aan het doen?
133,DialogueOption,Get back into bed its late.,Ga terug in bed het is laat.
134,DialogueOption,You broke the machine!,Je heb de machine gebroken!
135,DialogueOption,[Left],[Links]
136,DialogueOption,[Right],[Rechts]
137,DialogueOption,Would you like to play?,Wil je graag spelen?
138,DialogueOption,I'm getting hungry.,Ik heb honger.
139,DialogueOption,That sucks.,Dat is stom.
140,DialogueOption,We should get you a rain coat.,We moeten je een regenjas vinden.
141,DialogueOption,I didn't mean to be rude.,Ik wou niet vervelend doen.
142,DialogueOption,Go away.,Ga weg.
143,DialogueOption,[Comfort],[Blij Maken]
144,DialogueOption,[Insult],[Belediging]
145,DialogueOption,Hi Tinky Winky..,Hallo Tinky Winky..
146,DialogueOption,Eh-Oh!,Eh-Oh!
147,DialogueOption,Out of my way!,Ga uit mijn weg!
148,DialogueOption,\Hidden,\Verstopt
149,DialogueOption,Have you found your hat yet?,Heb jij je hoed al gevonden?
150,DialogueOption,Do you know how to turn on the custard machine?,Weet jij hoe je de custard machine aan moet doen?
151,DialogueOption,Goodbye!,Doei!
152,DialogueOption,Hello Noo Noo!,Hallo Noo Noo!
153,DialogueOption,It's nice and warm.,Het is mooi en warm.
154,DialogueOption,I prefer cold weather...,Ik heb liever koud weer ...
155,DialogueOption,I'm having fun!,Ik heb gewoon lol!
156,DialogueOption,I'm just enjoying the view.,Ik ben gewoon het uitzicht aan het bewonderen.
157,DialogueOption,None of your concern.,Dat is niet jou probleem.
158,Speech (Player),"It's dark, I'll need to get my night vision camera from the storage room before going outside.","Het is donker, ik moet mijn nachtvisiecamera uit de bergruimte halen voordat ik naar buiten ga."
159,Speech (Player),"The storage room is locked, I can unlock it from the control room...","De opslagruimte is vergrendeld, ik kan het van de controle kamer ontgrendelen..."
160,Speech (Player),Once I get these custards I should go to the satellite station for help.,"Zodra ik deze custards heb, moet ik naar het satellietstation gaan om hulp te zoeken."
161,Speech (Player),Other tubbies will be there.,Andere tubbies zullen er zijn.
162,Speech (Player),I must hurry!,Ik moet snel zijn!
163,Speech (Player),This is the control room... I forget how to open this door.,Dit is de controle kamer ... Ik vergeet hoe deze deur te openen.
